Title,Release Date,Platform
The Legend of Zelda: Breath of the Wild,2017-03-03,Nintendo Switch :contentReference[oacite:1]{index=1}
Super Mario Odyssey,2017-10-27,Nintendo Switch :contentReference[oacite:2]{index=2}
Minecraft,2011-11-18,PC :contentReference[oacite:3]{index=3}
Grand Theft Auto V,2013-09-17,PlayStation 3 :contentReference[oacite:4]{index=4}
The Witcher 3: Wild Hunt,2015-05-19,PC :contentReference[oacite:5]{index=5}
Red Dead Redemption 2,2018-10-26,PlayStation 4 :contentReference[oacite:6]{index=6}
God of War,2018-04-20,PlayStation 4 :contentReference[oacite:7]{index=7}
Elden Ring,2022-02-25,PC :contentReference[oacite:8]{index=8}
Cyberpunk 2077,2020-12-10,PC :contentReference[oacite:9]{index=9}
Half-Life 2,2004-11-16,PC :contentReference[oacite:10]{index=10}
Portal 2,2011-04-19,PC :contentReference[oacite:11]{index=11}
The Last of Us,2013-06-14,PlayStation 3 :contentReference[oacite:12]{index=12}
Super Smash Bros. Ultimate,2018-12-07,Nintendo Switch :contentReference[oacite:13]{index=13}
Animal Crossing: New Horizons,2020-03-20,Nintendo Switch :contentReference[oacite:14]{index=14}
Overwatch,2016-05-24,PC :contentReference[oacite:15]{index=15}
Fortnite,2017-07-25,PC :contentReference[oacite:16]{index=16}
Dark Souls,2011-09-22,PlayStation 3 :contentReference[oacite:17]{index=17}
Bloodborne,2015-03-24,PlayStation 4 :contentReference[oacite:18]{index=18}
Sekiro: Shadows Die Twice,2019-03-22,PC :contentReference[oacite:19]{index=19}
Doom Eternal,2020-03-20,PC :contentReference[oacite:20]{index=20}
Halo: Combat Evolved,2001-11-15,Xbox :contentReference[oacite:21]{index=21}
Gears of War,2006-11-07,Xbox 360 :contentReference[oacite:22]{index=22}
Final Fantasy VII,1997-01-31,PlayStation :contentReference[oacite:23]{index=23}
Resident Evil 4,2005-01-11,GameCube :contentReference[oacite:24]{index=24}
Metal Gear Solid,1998-09-03,PlayStation :contentReference[oacite:25]{index=25}
Pokémon Red and Blue,1996-02-27,Game Boy :contentReference[oacite:26]{index=26}
Super Mario 64,1996-06-23,Nintendo 64 :contentReference[oacite:27]{index=27}
The Legend of Zelda: Ocarina of Time,1998-11-21,Nintendo 64 :contentReference[oacite:28]{index=28}
Diablo II,2000-06-29,PC :contentReference[oacite:29]{index=29}
World of Warcraft,2004-11-23,PC :contentReference[oacite:30]{index=30}
